reference_month,NAPMC@USECON,NAPMOI@USECON,NAPMEI@USECON,NAPMNI@USECON,NAPMII@USECON,NAPMVDI@USECON,NAPMPI@USECON,NMFC@SURVEYS
2019-02,54.1,,,,,,,
2019-03,54.6,,,,,,,
2019-04,53.4,,,,,,,
2019-05,52.3,,,,,,,
2019-06,51.6,,,,,,,
2019-07,51.3,,,,,,,
2019-08,48.8,,,,,,,
2019-09,48.2,,,,,,,
2019-10,48.5,46.3,47.9,48.9,49.4,50.1,45.5,
2019-11,48.1,48.0,46.8,46.8,47.2,51.7,46.7,
2019-12,47.8,44.8,45.2,47.6,49.2,52.2,51.7,
2020-01,50.9,54.3,46.6,52.0,48.8,52.9,53.3,
2024-12,49.2,,,,,,,
2025-01,50.9,,,,,,,
2025-02,50.3,,,,,,,
2025-03,48.9,,,,,,,50.8
2025-04,48.8,,,,,,,51.6
2025-05,48.6,,,,,,,50.2
2025-06,49.0,,,,,,,50.8
2025-07,48.4,,,,,,,50.5
2025-08,48.9,47.8,43.8,51.4,49.4,51.3,63.7,51.9
2025-09,48.9,51.0,45.3,48.9,47.7,52.6,61.9,50.3
2025-10,48.8,48.2,46.0,49.4,45.8,54.2,58.0,52.0
2025-11,48.0,51.1,44.1,47.3,48.5,49.3,58.5,52.4
2025-12,47.9,50.7,44.8,47.4,45.7,50.8,58.5,53.8
2026-01,52.6,55.9,48.1,57.1,47.6,54.4,59.0,53.8
2026-02,52.4,53.5,48.8,55.8,48.8,55.1,70.5,56.1
2026-03,52.7,55.1,48.7,53.5,47.1,58.9,78.3,54.0
2026-04,52.7,53.4,46.4,54.1,49.0,60.6,84.6,53.6
2026-05,54.0,54.3,48.6,56.8,49.9,60.6,82.1,54.5
2026-06,53.3,52.2,49.7,56.0,51.4,57.4,73.0,54.0
2026-07,55.6,58.5,52.8,56.7,51.2,58.9,71.1,54.1
2026-08,54.6,58.3,51.2,53.7,50.6,59.3,71.1,55.4
